id,umetnik,letnica,naslov,lokacija
T07573,Marcel Duchamp,"('', 1917, 1917, ', replica 1964')",Fountain,"('Tate Modern', 'Level 4: Materials and Objects')"
T02343,Salvador Dalí,"('', 1937, 1937, '')",Metamorphosis of Narcissus,"('Tate Modern', 'Level 2: In the Studio')"
T03257,Salvador Dalí,"('', 1936, 1936, '')",Lobster Telephone,"('', '')"
T00648,Piet Mondrian,"('', 1937, 1942, '')","Composition with Yellow, Blue and Red","('Tate Liverpool', 'Constellations')"
T00414,Pablo Picasso,"('', 1913, 1913, '')","Bottle of Vieux Marc, Glass, Guitar and Newspaper","('Tate Modern', 'Level 4: Materials and Objects')"
N04948,Wassily Kandinsky,"('', 1910, 1911, '')",Cossacks,"('Tate Modern', 'Level 2: Start Display')"
T01988,Max Ernst,"('', 1921, 1921, '')",Celebes,"('Tate Modern', 'Level 2: In the Studio')"
T02011,Marcel Duchamp,"('', 1915, 1923, ', reconstruction by Richard Hamilton 1965–6, lower panel remade 1985')","The Bride Stripped Bare by her Bachelors, Even (The Large Glass)","('', '')"
T01918,Raoul Hausmann,"('', 1919, 1920, '')",The Art Critic,"('', '')"
T07883,Man Ray,"('', 1921, 1921, ', editioned replica 1972')",Cadeau,"('Tate Modern', 'Level 4: Materials and Objects')"
T03977,Jackson Pollock,"('', 1948, 1948, '')",Summertime: Number 9A,"('', '')"
T07346,Dorothea Tanning,"('', 1943, 1943, '')",Eine Kleine Nachtmusik,"('', '')"
N05387,"Henry Moore OM, CH","('', 1938, 1938, '')",Recumbent Figure,"('Tate Britain', 'BP Spotlights')"
T00165,André Derain,"('', 1905, 1905, '')",Henri Matisse,"('', '')"
T01978,Salvador Dalí,"('', 1936, 1936, '')",Autumnal Cannibalism,"('Tate Modern', 'Level 2: Artist and Society')"
T02344,Wassily Kandinsky,"('', 1925, 1925, '')",Swinging,"('', '')"
T00445,Georges Braque,"('c.', 1910, 1912, '')",Bottle and Fishes,"('Tate Liverpool', 'Constellations')"
N05717,Paul Nash,"('', 1940, 1941, '')",Totes Meer (Dead Sea),"('Tate Britain', 'Paul Nash')"
N05035,Edvard Munch,"('', 1907, 1907, '')",The Sick Child,"('', '')"
T02319,Kazimir Malevich,"('', 1915, 1915, ' or 1916')",Dynamic Suprematism,"('', '')"
T01589,Umberto Boccioni,"('', 1913, 1913, ', cast 1972')",Unique Forms of Continuity in Space,"('Tate Modern', 'Level 4: Media Networks')"
L01686,Alexander Calder,"('c.', 1932, 1932, '')",Mobile,"('', '')"
T11781,Hans Bellmer,"('c.', 1936, 1936, '')",The Doll,"('', '')"
T00953,Dame Barbara Hepworth,"('', 1943, 1943, ', cast 1958')",Oval Sculpture (No. 2),"('Tate Modern', 'Level 2: Artist and Society')"
N03177,Christopher Richard Wynne Nevinson,"('', 1915, 1915, '')",La Mitrailleuse,"('Tate Britain', 'BP Walk through British Art')"
T01520,Naum Gabo,"('', 1916, 1916, ', enlarged version 1964')",Head No. 2,"('', '')"
T00680,René Magritte,"('', 1928, 1928, '')",Man with a Newspaper,"('Tate Modern', 'Level 2: In the Studio')"
T02312,Josef Albers,"('', 1964, 1964, '')",Study for Homage to the Square,"('', '')"
N05706,"Henry Moore OM, CH","('', 1940, 1940, '')",Grey Tube Shelter,"('', '')"
T00699,Dame Barbara Hepworth,"('', 1946, 1946, '')",Pelagos,"('Tate Britain', 'BP Walk through British Art')"
T01233,Robert Delaunay,"('', 1934, 1934, '')",Endless Rhythm,"('Tate Modern', 'Level 4: Media Networks')"
T07139,Sir Jacob Epstein,"('', 1940, 1941, '')",Jacob and the Angel,"('Tate Britain', 'BP Walk through British Art')"
P02911,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand V,"('View by appointment', '')"
T01318,Joan Miró,"('', 1927, 1927, '')",Painting,"('Tate Modern', 'Level 2: In the Studio')"
T07957,Man Ray,"('', 1920, 1920, ', remade 1972')",L’Enigme d’Isidore Ducasse,"('', '')"
L01895,Pablo Picasso,"('', 1914, 1914, '')","Bowl of Fruit, Violin and Bottle","('', '')"
P07117,Graham Sutherland OM,"('', 1930, 1930, '')",Pastoral,"('View by appointment', '')"
N05915,Pablo Picasso,"('', 1909, 1909, '')",Bust of a Woman,"('Tate Modern', 'Level 2: In the Studio')"
T01136,Pablo Picasso,"('', 1914, 1914, '')",Still Life,"('Tate Modern', 'Level 4: Materials and Objects')"
T07507,Marcel Duchamp,"('', 1913, 1914, ', replica 1964')",3 stoppages étalon (3 Standard Stoppages),"('', '')"
T02035,Fernand Léger,"('', 1921, 1922, '')",Still Life with a Beer Mug,"('Tate Modern', 'Level 4: Media Networks')"
N05289,Max Ernst,"('', 1934, 1934, '')",The Entire City,"('Tate Modern', 'Level 2: In the Studio')"
T03809,Eileen Agar,"('', 1936, 1940, '')",Angel of Anarchy,"('Tate Britain', 'BP Walk through British Art')"
T03258,René Magritte,"('', 1937, 1937, '')",The Future of Statues,"('', '')"
N05709,"Henry Moore OM, CH","('', 1941, 1941, '')",Tube Shelter Perspective,"('', '')"
N05667,Paul Nash,"('', 1936, 1938, '')",Landscape from a Dream,"('Tate Britain', 'Paul Nash')"
L01712,Pablo Picasso,"('', 1909, 1909, '')",Head of a Woman (Fernande),"('Tate Modern', 'Level 2: In the Studio')"
T00384,Jackson Pollock,"('', 1948, 1948, '')",Number 23,"('', '')"
